SrNo,TITLE,CATEGORY,CITY,STATE,DATE,AMOUNT,MONTH,YEAR,DATE
222,Traffic Cop Took Bribe,"Traffic Fines, Penalties, Rules",Chennai,Tamil Nadu,"November 23, 2019",150,November,2019,November 23
223,Department not moving the fields closing with out any information,Caste Certificate,Tumkur,Karnataka,"November 22, 2019",1000,November,2019,November 22
224,Address Verification for Passport Application,Verification and Certificates,Satara,Maharashtra,"November 21, 2019",1000,November,2019,November 21
225,Paid bribe to police officer for passport verification,Policies and Procedures,Ranchi,Jharkhand,"November 21, 2019",2000,November,2019,November 21
226,Conflict of interest.,Commercial and Industrial,New Delhi,Delhi,"November 21, 2019",68000,November,2019,November 21
227,They are taking condonation over the limite,Certificates,Visakhapatnam,Andhra Pradesh,"November 20, 2019",10000,November,2019,November 20
228,Fraud company,Others,Gurgaon,Haryana,"November 19, 2019",2200,November,2019,November 19
229,For a signature that he visited my native place to confirm I am staying in that place from past 20 y,Certificates,Punganur,Andhra Pradesh,"November 19, 2019",500,November,2019,November 19
230,License LLR,Others,Vijayawada,Andhra Pradesh,"November 18, 2019",300,November,2019,November 18
231,Amount paid to obtain food license,Food License,Bangalore,Karnataka,"November 18, 2019",4000,November,2019,November 18
232,Paid bribe for birth certificate,Certificates,Guntur,Andhra Pradesh,"November 18, 2019",4000,November,2019,November 18
233,Constable asked for bribe,Policies and Procedures,Ramagundam,Telangana,"November 18, 2019",1000,November,2019,November 18
234,LEGAL METROLOGY,Others,Rajahmundry,Andhra Pradesh,"November 18, 2019",650,November,2019,November 18
235,No license,Autorickshaws,Guntakal,Andhra Pradesh,"November 18, 2019",500,November,2019,November 18
236,Police verification for passport,Verification and Certificates,Vadodara,Gujarat,"November 17, 2019",200,November,2019,November 17
237,Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,Loans,Pithoragarh,Uttarakhand,"November 16, 2019",3000,November,2019,November 16
238,Bribe Rs 45000 to ESE Bokaro for payment,Services,Bokaro,Jharkhand,"November 15, 2019",45000,November,2019,November 15
239,Nandi Hills,Others,Bangalore,Karnataka,"November 15, 2019",300,November,2019,November 15
240,"Pariksha Bhavan, Bangalore University",Certificates,Bangalore,Karnataka,"November 15, 2019",100,November,2019,November 15
241,Police verification,Policies and Procedures,Gondiya,Maharashtra,"November 15, 2019",200,November,2019,November 15
242,I paid a Bribe,Land Registration,Bangalore,Karnataka,"November 15, 2019",30000,November,2019,November 15
243,For drug license,License for Sale of Drugs,Sagar,Madhya Pradesh,"November 14, 2019",20000,November,2019,November 14
244,Corruption in jal nigam in dehradun,Water Connection,Dehradun,Uttarakhand,"November 13, 2019",1500,November,2019,November 13
245,Ticket checker take 200,,Rewari,Haryana,"November 13, 2019",200,November,2019,November 13
246,Solar net meter connection,Change of Tariff in Domestic to Commercial,Nashik,Maharashtra,"November 11, 2019",2000,November,2019,November 11
247,I paid a bribe to TTR,Ticket and Seat Related,Katpadi,Tamil Nadu,"November 11, 2019",100,November,2019,November 11
248,Rs. 500 asked for issuing salary acquittance,College Leaving Certificate,Coimbatore,Tamil Nadu,"November 11, 2019",500,November,2019,November 11
249,Paid bribe to RTO Motor Vehicle Inspector through broker,Vehicle Fitness,Chennai,Tamil Nadu,"November 11, 2019",3000,November,2019,November 11
250,Padwad name of officer,Customs Check and Clearance,Banda,Uttar Pradesh,"November 10, 2019",20000,November,2019,November 10
251,Near zeromile(hfc gate)chek post.,FIR and Complaints,Begusarai,Bihar,"November 10, 2019",100,November,2019,November 10
252,I Think I Paid a Bribe,"Traffic Fines, Penalties, Rules",Jaipur,Rajasthan,"November  9, 2019",300,November,2019,November  9
253,I think I paid a bribe,"Traffic Fines, Penalties, Rules",Jaipur,Rajasthan,"November  9, 2019",300,November,2019,November  9
254,Chief Fire Officer demanded large sums for handing over the Fire Advisory,Others,Bangalore,Karnataka,"November  7, 2019",200000,November,2019,November  7
255,Paid bribe behalf of our company,Services,Surat,Gujarat,"November  7, 2019",800,November,2019,November  7
256,We were defaulters in paying the common board electricity bill in apartments,Payment and Arrears,Chennai,Tamil Nadu,"November  7, 2019",5000,November,2019,November  7
257,UPCL new connection brige,Change of Tariff in Domestic to Commercial,Dehradun,Uttarakhand,"November  6, 2019",1500,November,2019,November  6
258,Residential Building plan approval,Building Construction Approval,Chennai,Tamil Nadu,"November  6, 2019",30000,November,2019,November  6
259,BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,Telephone and Internet Connection,Lumding,Assam,"November  6, 2019",20000,November,2019,November  6
260,Bribe 500 Rs for issuing birth certificate,"Births, Family and Care",Kota,Rajasthan,"November  5, 2019",500,November,2019,November  5
261,Pensioner Alive procedures,Policies and Procedures,Nagpur,Maharashtra,"November  5, 2019",2000,November,2019,November  5
262,Https://rbinnovations.com/collections/super-chargers/xtm-racing,Others,Adilabad,Telangana,"November  1, 2019",1222,November,2019,November  1
263,Traxxas T-Maxx 3.3 & 2.5 / Sport Maxx / S-Maxx / Nitro 4 Tec Supercharger,Others,Adari,Uttar Pradesh,"November  1, 2019",1200,November,2019,November  1
264,Losi XXXNT Supercharger - Losi XXXNT For Sale,Others,Abohar,Punjab,"November  1, 2019",1222,November,2019,November  1
265,Losi XXXNT Supercharger - Losi XXXNT For Sale,Others,Greater Noida,Uttar Pradesh,"November  1, 2019",1200,November,2019,November  1
266,Mandal Agriculture officer Atmakur,Others,Warangal,Telangana,"November  1, 2019",10000,November,2019,November  1
267,Completely bribe in KGF RTO end to end,Vehicle Fitness,Kolar,Karnataka,"October 31, 2019",3000,October,2019,October 31
268,Lady was asking for bribe,Sales Tax,Bilaspur,Chhattisgarh,"October 31, 2019",2000,October,2019,October 31
269,Kollala Deputy Tahsildar Office is selling Public Records.,Certificates,Tumkur,Karnataka,"October 29, 2019",500,October,2019,October 29
270,Found Theft bike,,Chitradurga,Karnataka,"October 29, 2019",7000,October,2019,October 29
271,I was robbed of Rs100 by RTO,"Traffic Fines, Penalties, Rules",Nashik,Maharashtra,"October 28, 2019",100,October,2019,October 28
272,Corruption,FIR and Complaints,Chennai,Tamil Nadu,"October 26, 2019",2500,October,2019,October 26
273,The Officer is corrupt,Verification and Certificates,Gulbarga,Karnataka,"October 26, 2019",1600,October,2019,October 26
274,Bribes taken for LDC post in Darjeeling district Court examination 2019 batch,Government Personnel,Darjeeling,West Bengal,"October 25, 2019",800000,October,2019,October 25
275,Paid a bribe of 9000 rupees for property registration,Property Registration,Vijayawada,Andhra Pradesh,"October 25, 2019",9000,October,2019,October 25
276,Corrupted officer,Saplings and Tree Cover,Nashik,Maharashtra,"October 25, 2019",50000,October,2019,October 25
277,INDIRECTLY FORCED APPLIED,Change of Tariff in Domestic to Commercial,Rudauli,Uttar Pradesh,"October 25, 2019",1,October,2019,October 25
278,AR9 9mm BCG Bolt Carrier Group Assembly Mag-Phos- U.S MADE,Others,Adari,Uttar Pradesh,"October 25, 2019",1200,October,2019,October 25
279,How To Select Boating Shoes That Are Handy As Well As Fashionable,Others,New Delhi,Delhi,"October 25, 2019",1200,October,2019,October 25
280,Asked bribe to initiate police verification.,Verification and Certificates,Ghaziabad,Uttar Pradesh,"October 25, 2019",500,October,2019,October 25
281,Refill Your Electronic Cigarette Cartridges Timely To Have Smokeless Smoking Experience,Others,New Delhi,Delhi,"October 24, 2019",122,October,2019,October 24
282,The Top Electric Scooters and Hoverboards - Is the World Finally Set to Accept Them?,Others,New Delhi,Delhi,"October 24, 2019",1200,October,2019,October 24
283,TTE was constantly asking for bribe even though we have confirmed ticket,Ticket and Seat Related,Pune,Maharashtra,"October 23, 2019",300,October,2019,October 23
284,Name of Officer: Amit Shrivastav Date of Incident: 28-June-2019…,Others,Indore,Madhya Pradesh,"October 23, 2019",5000,October,2019,October 23
285,Bribe Collected by document writter,Property Registration,Sivagiri,Tamil Nadu,"October 23, 2019",25000,October,2019,October 23
286,Smoking in public place,Police Harassment,Bangalore,Karnataka,"October 23, 2019",250,October,2019,October 23
287,Demanding money by police by running hotel,Autorickshaws,New Delhi,Delhi,"October 22, 2019",1000,October,2019,October 22
288,The RTO in Amingaon is impossible to deal with.,Driving Licenses and Tests,Guwahati,Assam,"October 21, 2019",600,October,2019,October 21
289,They have not given change,College Leaving Certificate,Bangalore,Karnataka,"October 21, 2019",5,October,2019,October 21
290,Promotion and posting scam,Bill Payment,Bangalore,Karnataka,"October 21, 2019",500000,October,2019,October 21
291,I paid to get tempreory connection,Electricity Connection,Koppal,Karnataka,"October 20, 2019",2000,October,2019,October 20
292,Passport address verification,Verification and Certificates,Bangalore,Karnataka,"October 19, 2019",500,October,2019,October 19
293,Bribe asked by BDO,Public Works,Nagapattinam,Tamil Nadu,"October 19, 2019",10000,October,2019,October 19
294,Regarding bribing the police for passport verification.,Police Verification for Passport,Gopalganj,Bihar,"October 19, 2019",1800,October,2019,October 19
295,Regarding bribing the police for passport verification.,Verification and Certificates,Gopalganj,Bihar,"October 19, 2019",1800,October,2019,October 19
296,Regarding bribing the police for passport verification,Verification and Certificates,Gopalganj,Bihar,"October 19, 2019",1800,October,2019,October 19
297,Police verification,Policies and Procedures,Dehradun,Uttarakhand,"October 18, 2019",200,October,2019,October 18
298,Paid bride,Vehicle Insurance,New Delhi,Delhi,"October 16, 2019",1000,October,2019,October 16
299,Traffic police,Vehicle Insurance,New Delhi,Delhi,"October 16, 2019",500,October,2019,October 16
300,Complain for irresponsible officers,Land Registration,Barh,Bihar,"October 15, 2019",10000,October,2019,October 15
301,Traffic Police exaggerated fine forceful,"Traffic Fines, Penalties, Rules",Pune,Maharashtra,"October 15, 2019",2000,October,2019,October 15
302,Duplicate license copy for photo shoot,Duplicate Driving License,Viluppuram,Tamil Nadu,"October 15, 2019",200,October,2019,October 15
303,This Festive season just got more interesting,Loans,Mumbai,Maharashtra,"October 15, 2019",42900,October,2019,October 15
304,To file case and to provide FIR the 2nd floor nolambur police writer police men and women,FIR and Complaints,Chennai,Tamil Nadu,"October 14, 2019",4000,October,2019,October 14
305,After the change of currency the financial system will fall secure your self now while you can,Assessment,Mumbai,Maharashtra,"October 14, 2019",78500,October,2019,October 14
306,For selling banned medicine and not having valid license,Pharmacy,Sitamarhi,Bihar,"October 13, 2019",25000,October,2019,October 13
307,Becoming A Millionaire in a fast growing economy like India is easy,Sales Tax,Mumbai,Maharashtra,"October 12, 2019",987600,October,2019,October 12
308,I am a post office femle agent,Savings Scheme,Jalaun,Uttar Pradesh,"October 12, 2019",50,October,2019,October 12
309,They fined the People without reason and the show the fear of law to common people n collect money,"Traffic Fines, Penalties, Rules",Pune,Maharashtra,"October 12, 2019",1000,October,2019,October 12
310,Bribe for legal heir certificate,Certificates,Vellore,Tamil Nadu,"October 11, 2019",500,October,2019,October 11
311,Ripnsalt Disposables & Nicotine Salts E-Liquid at Calivapepods.com,Others,Adityapur,Jharkhand,"October 11, 2019",1200,October,2019,October 11
312,"Change your future, bitcoin is going to replace banks",Certificates,Faridabad,Haryana,"October 11, 2019",68700,October,2019,October 11
313,Your chance of safe heaven investment,Commercial and Industrial,Adityapur,Jharkhand,"October 11, 2019",456000,October,2019,October 11
314,"Bitcoin is back up,This is your chance",Fire License,Yemmiganur,Andhra Pradesh,"October 11, 2019",678000,October,2019,October 11
315,I am a cha in custom the babu of custom officer is always asked me how much conenor i have,,Jaipur,Rajasthan,"October 11, 2019",10000,October,2019,October 11
316,Hoverboards Segway/Swegway Circuit Board Repair Kit UK,Others,Achhnera,Uttar Pradesh,"October 11, 2019",12,October,2019,October 11
317,Making alot of money is easy now,Sales Tax,Chennai,Tamil Nadu,"October 11, 2019",548900,October,2019,October 11
318,GET RICH FAST LEGALY,Others,Mumbai,Maharashtra,"October 11, 2019",87900,October,2019,October 11
319,Losi XXXNT Supercharger & Spare Parts at RBinnovations.com,Others,Amadalavalasa,Andhra Pradesh,"October 11, 2019",22,October,2019,October 11
320,"Get your Loan Approval,easy access fast transfer",Sales Tax,Mumbai,Maharashtra,"October 10, 2019",900000,October,2019,October 10
321,Wrong side driving by UBER Driver,"Traffic Fines, Penalties, Rules",Noida,Uttar Pradesh,"October 10, 2019",500,October,2019,October 10
322,PERSONAL LOANS UNDER 30 MINUETS,Sales Tax,Mumbai,Maharashtra,"October  9, 2019",30000,October,2019,October  9
323,For registration of aadhar card,Others,Guwahati,Assam,"October  9, 2019",300,October,2019,October  9
324,Paid bribe to the BBMP Inspector to do perform his duty.,Services,Bangalore,Karnataka,"October  8, 2019",500,October,2019,October  8
325,Bharath Gas - LPG cylinder delivery bribe,Others,Bangalore,Karnataka,"October  8, 2019",50,October,2019,October  8
326,Police should take serious action,Police Harassment,Raipur,Chhattisgarh,"October  8, 2019",15000,October,2019,October  8
327,Police enforcement hyenas,Autorickshaws,Bangalore,Karnataka,"October  8, 2019",800,October,2019,October  8
328,A thousand bribe and a bottle of Johnny Walker,Customs Check and Clearance,Pondicherry,Pondicherry,"October  7, 2019",4000,October,2019,October  7
329,Corrupt practice,Entry Tax,Miryalaguda,Telangana,"October  7, 2019",200,October,2019,October  7
330,Buy 9mm Slide GEN-3 RMR Cut Tungsten for Glock 19 - U.S Made,Others,Adari,Uttar Pradesh,"October  7, 2019",12,October,2019,October  7
331,Corruption,Aadhaar Card Process,Gwalior,Madhya Pradesh,"October  7, 2019",50000,October,2019,October  7
332,Unauthorized pay n park,Vehicle Fitness,Thane,Maharashtra,"October  6, 2019",100,October,2019,October  6
333,Indian Custom Officials illegally kept $2500 USD,Customs,New Delhi,Delhi,"October  6, 2019",177000,October,2019,October  6
334,Get loans in your area fast,Loans,Chennai,Tamil Nadu,"October  6, 2019",67000,October,2019,October  6
335,I paid a bride,Excess Baggage,New Delhi,Delhi,"October  6, 2019",10000,October,2019,October  6
336,Paid a bribe,Excess Baggage,New Delhi,Delhi,"October  6, 2019",5000,October,2019,October  6
337,Bribe given to release my refunds,Income Tax,Mumbai,Maharashtra,"October  6, 2019",40000,October,2019,October  6
338,Corrupt custom New Delhi airport,Customs,New Delhi,Delhi,"October  6, 2019",5000,October,2019,October  6
339,Had to pay bribe for land partition.,Caste Certificate,Dibrugarh,Assam,"October  5, 2019",20000,October,2019,October  5
340,"To close down old company, to get new tin number",Assessment,Chennai,Tamil Nadu,"October  5, 2019",50000,October,2019,October  5
341,Bribe for adhar correction,,Faizabad,Uttar Pradesh,"October  4, 2019",250,October,2019,October  4
342,Bribe paid for CGHS claim,Disability Certificate,New Delhi,Delhi,"October  4, 2019",12000,October,2019,October  4
343,TAKE LOAN USING YOUR ID PROOF 15MNTS,VAT,Bangalore,Karnataka,"October  4, 2019",500000,October,2019,October  4
344,INVEST IN BITCOIN AND MAKE MILLIONS,Sales Tax,Chennai,Tamil Nadu,"October  4, 2019",800000,October,2019,October  4
345,Corruption,Ration Card,Sirsi,Uttar Pradesh,"October  4, 2019",200,October,2019,October  4
346,SP AND CI  AND DSP WERE ASKING FOR BRIBE,FIR and Complaints,Suryapet,Telangana,"October  4, 2019",400000,October,2019,October  4
347,Demanding bribe,Driving Licenses and Tests,Salur,Andhra Pradesh,"October  3, 2019",1500,October,2019,October  3
348,Replacement Rubber Grips for Hoverkart / Hovercart UK,Others,New Delhi,Delhi,"October  3, 2019",1200,October,2019,October  3
349,Modified Cooling Clutch Plate for TR/OBR sealed billet clutch housing,Others,New Delhi,Delhi,"October  3, 2019",1200,October,2019,October  3
350,Corrupt Trafic Police of UP.,"Traffic Fines, Penalties, Rules",Gorakhpur,Uttar Pradesh,"October  2, 2019",1500,October,2019,October  2
351,Gst refund on export sales,Sales Tax,Jaipur,Rajasthan,"October  1, 2019",95000,October,2019,October  1
352,Rifle Length A1 A2 Buffer Tube Kit at AR15handguard.com,Others,Adilabad,Telangana,"September 30, 2019",1200,September,2019,September 30
353,GST feild officer,Sales Tax,Ahmedabad,Gujarat,"September 28, 2019",500,September,2019,September 28
354,Bribe and mishaving.,Driving licence Process,Sibsagar,Assam,"September 28, 2019",500,September,2019,September 28
355,Asked for bribe in respect to violation of traffic rules,FIR and Complaints,Pune,Maharashtra,"September 28, 2019",600,September,2019,September 28
356,Paid bribe to get a bus ticket in KSRTC Airavat Bus.,Driving and Transport Business,Bangalore,Karnataka,"September 27, 2019",120,September,2019,September 27
357,Bribe paid,"Traffic Fines, Penalties, Rules",Chennai,Tamil Nadu,"September 27, 2019",100,September,2019,September 27
358,Inaction on corrupt officials in ministry of agriculture,Others,New Delhi,Delhi,"September 27, 2019",1,September,2019,September 27
359,Asking for bribe to pass the driving licence trial test.,Driving Licenses and Tests,Maldah,West Bengal,"September 26, 2019",1000,September,2019,September 26
360,Demanding bribe for Land name,Contract Work,Ratnagiri,Maharashtra,"September 26, 2019",15000,September,2019,September 26
361,Misuse of public funds in Ministry of Agriculture,Others,New Delhi,Delhi,"September 26, 2019",1,September,2019,September 26
362,Paid Bribe to Police for verification of my Passport,Verification and Certificates,Jaunpur,Uttar Pradesh,"September 25, 2019",1200,September,2019,September 25
363,Bribe againt receiving my documents,Post and Parcel,New Delhi,Delhi,"September 25, 2019",200,September,2019,September 25
364,Government hospital related..  Balrampur,Others,Lucknow,Uttar Pradesh,"September 25, 2019",168,September,2019,September 25
365,Cali E-Liquid Nicotine Salt & Pods at Calivapepods.com,Others,Adari,Uttar Pradesh,"September 25, 2019",200,September,2019,September 25
366,The Kiddos: Pink Seersucker Boat Shoes For Sale,Others,Achhnera,Uttar Pradesh,"September 25, 2019",1200,September,2019,September 25
367,The Kiddos: Pink Seersucker Boat Shoes For Sale,Others,New Delhi,Delhi,"September 25, 2019",1200,September,2019,September 25
368,Information about Touts/middlemen,Aadhaar Card Process,New Delhi,Delhi,"September 24, 2019",500000,September,2019,September 24
369,Medical officer demanded 500 rs for doing tests in govt. hospital,Hospitals and Medical Care,Hyderabad,Telangana,"September 24, 2019",500,September,2019,September 24
370,Metre Figure of 8 C7 Mains Cable Lead Plug Sky Hoverboard PS2 PS4,Others,New Delhi,Delhi,"September 24, 2019",455,September,2019,September 24
371,Traxxas 3.3 RC Engine Supercharger For Sale at RBinnovations.com,Others,New Delhi,Delhi,"September 24, 2019",1222,September,2019,September 24
372,"AR15 Muzzle Brake, AR & AR15 Bird Cage Muzzle Brake",Others,Gadwal,Telangana,"September 23, 2019",200,September,2019,September 23
373,Handcrafted Stemless Wine & Drinking Glasses From OAXACA For Sale,Others,Kaithal,Haryana,"September 23, 2019",200,September,2019,September 23
374,Complain regarding illegal construction on my plot,FIR and Complaints,Patna,Bihar,"September 23, 2019",1000,September,2019,September 23
375,For Death claim,,New Delhi,Delhi,"September 22, 2019",7000,September,2019,September 22
376,Government hospital Sanjay Gandhi Hospital,Hospitals and Medical Care,Bangalore,Karnataka,"September 22, 2019",300,September,2019,September 22
377,Passing building drawing,Building and Housing,Bettiah,Bihar,"September 22, 2019",8500,September,2019,September 22
378,TT take bribe from passengers,Ticket and Seat Related,Ambala,Haryana,"September 22, 2019",600,September,2019,September 22
379,Bribe taken in Women Cell Sriniwaspuri by Mrs Deepmala,FIR and Complaints,New Delhi,Delhi,"September 21, 2019",500000,September,2019,September 21
380,Nuisance of Traffic fines,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"September 21, 2019",500,September,2019,September 21
381,Bengaluru Traffic Police - Thugs of India,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"September 21, 2019",500,September,2019,September 21
382,Keidney for sell,College Leaving Certificate,Indore,Madhya Pradesh,"September 20, 2019",1000000,September,2019,September 20
383,Bribe Given to Mr. Rahul,Income Tax,Kashipur,Uttarakhand,"September 20, 2019",400000,September,2019,September 20
384,Shakti Enterprises Case,Income Tax,Kashipur,Uttarakhand,"September 20, 2019",400000,September,2019,September 20
385,Hand Stitched & Best Insole Docksides Boat Shoes at Froats.com,Others,Fatehpur,Uttar Pradesh,"September 20, 2019",12,September,2019,September 20
386,"Wholesale Cali Pods - Sea Pods, Plus Pods, Eon Pods & Eon Smoke Shop",Others,Adoni,Andhra Pradesh,"September 20, 2019",1200,September,2019,September 20
387,Passport verification,Background Verification,Howrah,West Bengal,"September 20, 2019",700,September,2019,September 20
388,"AR15 Buffer Tube, AR & AR15 Pistol Buffer Tube",Others,Abohar,Punjab,"September 19, 2019",22,September,2019,September 19
389,Powermatic 2 Plus + Electric Cigarette Rolling Machine For Sale,Others,Adityapur,Jharkhand,"September 19, 2019",1200,September,2019,September 19
390,Buy Best Hoverboards Segway/Swegway UK â Smartboardsuk.com,Others,Abohar,Punjab,"September 19, 2019",1200,September,2019,September 19
391,Have to pay 500 for a challan of 100,"Traffic Fines, Penalties, Rules",Agra,Uttar Pradesh,"September 18, 2019",400,September,2019,September 18
392,Bribe for Practical Exam,School or College Related,Agra,Uttar Pradesh,"September 18, 2019",500,September,2019,September 18
393,For Registration in PICME,Government Schemes,Sirkali,Tamil Nadu,"September 18, 2019",500,September,2019,September 18
394,For conduction of practical exams NIOS AI centre,School or College Related,Agra,Uttar Pradesh,"September 18, 2019",500,September,2019,September 18
395,Redcat Supercharger & Spare Parts at RBinnovations.com,Others,Adityapur,Jharkhand,"September 16, 2019",1200,September,2019,September 16
396,Bribe - A Real Shame,FIR and Complaints,Nagercoil,Tamil Nadu,"September 15, 2019",800,September,2019,September 15
397,Caste verification,Caste Certificate,Nagarkurnool,Telangana,"September 14, 2019",5000,September,2019,September 14
398,There was no district name on my addressproof(bank passbook) application was rejecting,Number Plates and Vehicle Registration,Hyderabad,Telangana,"September 13, 2019",500,September,2019,September 13
399,EXCISE INSPECTOR DEMANDS MOTHLY MONEY FOR OPERATING LIQUOR SHOP,Excise,Garhwa,Jharkhand,"September 13, 2019",10000,September,2019,September 13
400,Paid bride to police writer who verifies the documents,Registrations and Licenses,Nirmal,Telangana,"September 13, 2019",800,September,2019,September 13
401,Buy Juul Compatible Strawberry Mint Cali Pods,Others,Adilabad,Telangana,"September 12, 2019",1200,September,2019,September 12
402,"BALESAR TEHSIL JODHPUR
IN AUGUST MONTH 2019",Birth Certificate,Jodhpur,Rajasthan,"September 11, 2019",450,September,2019,September 11
403,Inspector taken 900000 lac bribe,Autorickshaws,Bhabua,Bihar,"September 11, 2019",900000,September,2019,September 11
404,Bribe on every talk,Court Related,Ghaziabad,Uttar Pradesh,"September 11, 2019",1000,September,2019,September 11
405,Hoverboard Segway Swegway Carry Case UK,Others,Adoni,Andhra Pradesh,"September 11, 2019",1200,September,2019,September 11
406,Buy Nitrous Oxide Engine & RC Airfilter Supercharger Innovations at RBinnovations.com,Others,Adityapur,Jharkhand,"September 11, 2019",1200,September,2019,September 11
407,Had to bribe despite having all the documents,Issue and Renewal of Passport,Visakhapatnam,Andhra Pradesh,"September 11, 2019",3000,September,2019,September 11
408,CBI junction  ASI took 350rs,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"September 11, 2019",350,September,2019,September 11
409,Bribe taken for issueing PUC certificate for car,,Tezpur,Assam,"September 11, 2019",100,September,2019,September 11
410,BRIBERY AND HARRASMENT AT MOOLEHOLE CHECK POST KERALA KARNATAKA BORDER,Protected Forest and Sanctuaries,Chamarajanagar,Karnataka,"September 10, 2019",1000,September,2019,September 10
411,Get AR15 Handguard & AR Handguard at AR15handguard.com,Others,Adari,Uttar Pradesh,"September 10, 2019",12220,September,2019,September 10
412,Automatic Powermatic 3 or Powermatic III Cigarette Machine For Sale,Others,New Delhi,Delhi,"September 10, 2019",1200,September,2019,September 10
413,Bribe for getting sanction plan for house,Building and Housing,Bangalore,Karnataka,"September  9, 2019",60000,September,2019,September  9
414,Electrical connection bribe,Services,Bangalore,Karnataka,"September  9, 2019",1200,September,2019,September  9
415,Consumer court ghaziabad,Dates for Hearing,Ghaziabad,Uttar Pradesh,"September  9, 2019",1000,September,2019,September  9
416,INSTANT LOAN,Loans,Mumbai,Maharashtra,"September  9, 2019",89000,September,2019,September  9
417,Transfer,Employee Grievances,Bilaspur,Himachal Pradesh,"September  8, 2019",30000,September,2019,September  8
418,BUYING BITCOIN IN INDIA,Service Tax,Mumbai,Maharashtra,"September  8, 2019",8000,September,2019,September  8
419,I took a loan of 50 crore,Sales Tax,Chennai,Tamil Nadu,"September  8, 2019",30000,September,2019,September  8
420,I TOOK 50 CRORE LOAN,Sales Tax,Chennai,Tamil Nadu,"September  8, 2019",50000,September,2019,September  8
421,Lekar chor diya,FIR and Complaints,Gurgaon,Haryana,"September  8, 2019",25000,September,2019,September  8
422,No parking fine,"Traffic Fines, Penalties, Rules",Pune,Maharashtra,"September  5, 2019",500,September,2019,September  5
423,Corruption of Rohilkhand medical college,College Leaving Certificate,Bareilly,Uttar Pradesh,"September  5, 2019",200000,September,2019,September  5
424,The Star Spangleds Boat Shoes at Froats.com,Others,Adityapur,Jharkhand,"September  5, 2019",1200,September,2019,September  5
425,Car release,FIR and Complaints,Bangalore,Karnataka,"September  5, 2019",7500,September,2019,September  5
426,Cali Pods Pink Lemonade at Calivapepods.com,Others,Achhnera,Uttar Pradesh,"September  5, 2019",1200,September,2019,September  5
427,Best All Terrain Hoverboards UK at Smartboardsuk.com,Others,Adilabad,Telangana,"September  5, 2019",1200,September,2019,September  5
428,Passport Police verification,Verification and Certificates,Pune,Maharashtra,"September  5, 2019",1000,September,2019,September  5
429,Heavy level of corruption in grameen bank bhojapur mau,Loan Sanctioning,Mau,Uttar Pradesh,"September  4, 2019",100,September,2019,September  4
430,Scale RC Air Filters at RBinnovations.com,Others,Adoni,Andhra Pradesh,"September  3, 2019",1200,September,2019,September  3
431,AR10 Lower Part Kit & AR 10 Handguard,Others,New Delhi,Delhi,"September  2, 2019",1200,September,2019,September  2
432,Automatic Electric Cigarette Rolling Machine & Tobacco Tubing Machine,Others,New Delhi,Delhi,"September  2, 2019",1200,September,2019,September  2
433,Personal loan of up to  15 crores,Sales Tax,Chennai,Tamil Nadu,"September  2, 2019",80000,September,2019,September  2
434,Http://www.healthandfitnesshop.com/floraspring/,Excess Baggage,Abhayapuri,Assam,"September  1, 2019",100,September,2019,September  1
435,Traffic police,Traffic Violations,New Delhi,Delhi,"August 31, 2019",3000,August,2019,August 31
436,"We offer real credit services to the general public, in order to…",Others,Pune,Maharashtra,"August 31, 2019",3000000,August,2019,August 31
437,Police verification for passport application,Verification and Certificates,Bangalore,Karnataka,"August 31, 2019",300,August,2019,August 31
438,Broken  no. plate,"Traffic Fines, Penalties, Rules",Pune,Maharashtra,"August 31, 2019",100,August,2019,August 31
439,BEST PLACE TO INVEST ON YOUR BITCOIN TODAY IN INDIA,Loans,Chennai,Tamil Nadu,"August 30, 2019",5000,August,2019,August 30
440,Collage  management refundabel  amount  don't refund to student,School or College Related,Udaipur,Rajasthan,"August 30, 2019",5500,August,2019,August 30
441,At the time of case closure,Court Related,Mumbai,Maharashtra,"August 29, 2019",5000,August,2019,August 29
442,Refurbished Hoverboards Segway/Swegway UK,Others,Adari,Uttar Pradesh,"August 28, 2019",1200,August,2019,August 28
443,Nitrous Injection Kits & Nitrous Injection Systems,Others,New Delhi,Delhi,"August 28, 2019",1200,August,2019,August 28
444,Bribe for test report of agriculture implements under government scheme by agricultural universities,Government Schemes,Hisar,Haryana,"August 28, 2019",20000,August,2019,August 28
445,Aadhar Centre illegal charges,Others,Rath,Uttar Pradesh,"August 28, 2019",100,August,2019,August 28
446,Buy Hand Stitched & Leather Goods Boat shoes â Froats.com,Others,Adari,Uttar Pradesh,"August 28, 2019",1200,August,2019,August 28
447,"Wholesale Cali Pods - Sea Pods, Plus Pods, Eon Smoke and Eon Pods",Others,Achhnera,Uttar Pradesh,"August 28, 2019",1200,August,2019,August 28
448,New connection,Change of Tariff in Domestic to Commercial,Bangalore,Karnataka,"August 27, 2019",200000,August,2019,August 27
449,Tenant verification,Verification and Certificates,Thane,Maharashtra,"August 27, 2019",500,August,2019,August 27
